Date, Open, High, Low, Close
31-12-20,3733.27,3760.2,3726.88,3756.07
30-12-20,3736.19,3744.63,3730.21,3732.04
29-12-20,3750.01,3756.12,3723.31,3727.04
28-12-20,3723.03,3740.51,3723.03,3735.36
24-12-20,3694.03,3703.82,3689.32,3703.06
23-12-20,3693.42,3711.24,3689.28,3690.01
22-12-20,3698.08,3698.26,3676.16,3687.26
21-12-20,3684.28,3702.9,3636.48,3694.92
18-12-20,3722.39,3726.7,3685.84,3709.41
17-12-20,3713.65,3725.12,3710.87,3722.48
16-12-20,3696.25,3711.27,3688.57,3701.17
15-12-20,3666.41,3695.29,3659.62,3694.62
14-12-20,3675.27,3697.61,3645.84,3647.49
11-12-20,3656.08,3665.91,3633.4,3663.46
10-12-20,3659.13,3678.49,3645.18,3668.1
09-12-20,3705.98,3712.39,3660.54,3672.82
08-12-20,3683.05,3708.45,3678.83,3702.25
07-12-20,3694.73,3697.41,3678.88,3691.96
04-12-20,3670.94,3699.2,3670.94,3699.12
03-12-20,3668.28,3682.73,3657.17,3666.72
02-12-20,3653.78,3670.96,3644.84,3669.01
01-12-20,3645.87,3678.45,3645.87,3662.45
30-11-20,3634.18,3634.18,3594.39,3621.63
27-11-20,3638.55,3644.31,3629.33,3638.35
25-11-20,3635.5,3635.5,3617.76,3629.65
24-11-20,3594.52,3642.31,3594.52,3635.41
23-11-20,3566.82,3589.81,3552.77,3577.59
20-11-20,3579.31,3581.23,3556.85,3557.54
19-11-20,3559.41,3585.22,3543.84,3581.87
18-11-20,3612.09,3619.09,3567.33,3567.79
17-11-20,3610.31,3623.11,3588.68,3609.53
16-11-20,3600.16,3628.51,3600.16,3626.91
13-11-20,3552.57,3593.66,3552.57,3585.15
12-11-20,3562.67,3569.02,3518.58,3537.01
11-11-20,3563.22,3581.16,3557,3572.66
10-11-20,3543.26,3557.22,3511.91,3545.53
09-11-20,3583.04,3645.99,3547.48,3550.5
06-11-20,3508.34,3521.58,3484.34,3509.44
05-11-20,3485.74,3529.05,3485.74,3510.45
04-11-20,3406.46,3486.25,3405.17,3443.44
03-11-20,3336.25,3389.49,3336.25,3369.16
02-11-20,3296.2,3330.14,3279.74,3310.24
30-10-20,3293.59,3304.93,3233.94,3269.96
29-10-20,3277.17,3341.05,3259.82,3310.11
28-10-20,3342.48,3342.48,3268.89,3271.03
27-10-20,3403.15,3409.51,3388.71,3390.68
26-10-20,3441.42,3441.42,3364.86,3400.97
23-10-20,3464.9,3466.46,3440.45,3465.39
22-10-20,3438.5,3460.53,3415.34,3453.49
21-10-20,3439.91,3464.86,3433.06,3435.56
20-10-20,3439.38,3476.93,3435.65,3443.12
19-10-20,3493.66,3502.42,3419.93,3426.92
16-10-20,3493.5,3515.76,3480.45,3483.81
15-10-20,3453.72,3489.08,3440.89,3483.34
14-10-20,3515.47,3527.94,3480.55,3488.67
13-10-20,3534.01,3534.01,3500.86,3511.93
12-10-20,3500.02,3549.85,3499.61,3534.22
09-10-20,3459.67,3482.34,3458.07,3477.13
08-10-20,3434.28,3447.28,3428.15,3446.83
07-10-20,3384.56,3426.26,3384.56,3419.45
06-10-20,3408.74,3431.56,3354.54,3360.95
05-10-20,3367.27,3409.57,3367.27,3408.63
02-10-20,3338.94,3369.1,3323.69,3348.44
01-10-20,3385.87,3397.18,3361.39,3380.8
30-09-20,3341.21,3393.56,3340.47,3363
29-09-20,3350.92,3357.92,3327.54,3335.47
28-09-20,3333.9,3360.74,3332.91,3351.6
